,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）,汞（Hg2599）
117,118,6,S14-8,tr6-118,67.42,0.24502200000000002,0.1422,^ *****,1.362,0.6813,0.0133,7.824,0.005,0.14049999999999999,0.354,0.6670728,0.6909000000000001,85.72,28.29,-0.0079,-0.0549,^ *****,31.13,19.03,23.3,12.33,3.885,0.0381,0.1864,0.7636000000000001,0.2704,2.744,1.706,-0.0405,0.5191,0.3561,0.1329,20.07,0.0015,0.4464,0.6162,0.3081,2.463,3.849,0.4645,0.8892,
118,119,6,S14-9,tr6-119,55.48,0.213322,0.1063,^ *****,1.134,0.5482,0.0107,6.305,0.0041,0.1208,0.3086,0.5405913,0.56,78.76,25.39,-0.0078,-0.0501,^ *****,25.45,16.32,19.59,9.893,3.354,0.0299,0.1265,0.656,0.2468,2.592,1.428,-0.0345,0.6136,0.4275,0.1593,16.76,-0.0045,0.3699,0.5115,0.2475,1.97,3.171,0.3629,0.8392,
119,120,6,S15-1,tr6-120,68.94,0.19642199999999999,0.147,-0.0152,0.1762,0.9445,^ *****,7.643,0.0021888888888888887,0.1288,0.1449,0.3285396,0.35489999999999994,104.2,65.94,-0.0083,-0.0188,^ *****,29.73,15.04,18.84,^ *****,3.755,0.0311,0.1512,0.5696,1.671,2.59,0.2811,-0.0226,1.095,0.9834,0.4532,4.409,0.0727,0.1305,0.5378,0.3565,1.968,3.059,0.4919,0.5902,
120,121,6,S15-2,tr6-121,^ *****,0.277222,0.2063,^ *****,1.396,1.059,0.0135,13.84,0.004966666666666666,0.1513,0.3317,0.7098579,0.7182000000000001,90.31,29.59,-0.0083,-0.0667,^ *****,34.69,20,23.91,13.03,6.766,0.0504,0.193,0.7291000000000001,0.1624,1.855,1.489,-0.039,0.6278,0.4652,0.1903,20.14,0.0124,0.6905,0.9259,0.5145,2.827,4.352,0.5395,1.035,
121,122,6,S15-3,tr6-122,69.44,0.257022,0.1494,^ *****,1.367,0.9027,0.0128,11.53,0.004855555555555555,0.14159999999999998,0.3288,0.6886215000000001,0.6877500000000001,90.32,29.54,-0.008,-0.0717,^ *****,28.72,18.59,21.94,11.92,5.74,0.0455,0.1488,0.6955,0.1795,1.962,1.486,-0.0375,1.135,0.8416,0.3568,19.89,0.0014,0.5933,0.8004,0.4324,2.393,3.631,0.4938,0.9226,
122,123,6,S15-4,tr6-123,60.48,0.17572200000000002,0.1177,-0.0048,0.1357,0.6146,^ *****,6.199,0.0018333333333333329,0.0956,0.1042,0.2913759,0.24850000000000003,88.38,60.08,-0.0078,-0.0136,^ *****,23.42,14.51,17.71,^ *****,1.549,0.0216,0.1676,0.447,11.18,11.22,0.3483,-0.0185,0.4169,0.4093,0.1746,3.325,0.0503,0.0952,0.4019,0.2621,2.345,3.747,0.4501,0.4587,
123,124,6,S15-5,tr6-124,55.52,0.18912199999999998,0.1549,^ *****,0.9679,0.522,0.0098,7.117,0.0034888888888888886,0.1096,0.2578,0.4928094,0.44659999999999994,75.78,23.21,-0.0067,-0.0475,^ *****,22.11,16.08,18.73,9.823,1.395,0.029,0.1741,0.5474,0.1418,1.338,1.108,-0.0304,0.8583,0.6284,0.2553,14.27,-0.0202,0.4084,0.5509,0.2852,3.595,5.617,0.4104,0.6368,
124,125,6,S15-6,tr6-125,52.16,0.21242199999999997,0.0844,-0.0495,0.1293,0.554,^ *****,5.767,0.0019666666666666665,0.0877,0.091,0.23141430000000004,0.26844999999999997,91,62.95,-0.0078,-0.0172,12.97,17.51,10.56,12.62,^ *****,0.5827,0.0161,0.1297,0.4268,9.017,9.169,0.3171,-0.0228,0.6263,0.6007,0.268,3.733,0.0265,0.0857,0.3512,0.2211,1.814,2.884,0.3801,0.3499,
125,126,6,S15-7,tr6-126,53.74,0.143422,0.0856,0.0066,0.0873,0.557,^ *****,7.556,0.000977777777777778,0.0655,0.0729,0.23859719999999998,0.1414,69.79,41.29,-0.0074,-0.013,12.79,16.71,14.51,16.91,8.842,0.5627,0.0125,0.1381,0.36519999999999997,0.51,0.7725,0.1723,-0.0127,0.8874,0.8062,0.363,2.083,0.0316,0.0596,0.3188,0.2148,2.523,3.909,0.3569,0.3797,
126,127,6,S15-8,tr6-127,74.35,0.174522,0.1479,-0.0153,0.1765,0.9333,^ *****,^ *****,0.002444444444444444,0.1096,0.1059,0.3129246,0.6874000000000001,97.21,68.44,-0.0084,-0.0333,^ *****,28.71,14.98,17.78,^ *****,1.656,0.0222,0.1782,0.6481,14.03,14.31,0.4436,-0.0238,0.5043,0.4682,0.2038,4.388,0.0696,0.1353,0.6032,0.4099,1.628,2.615,0.4955,0.578,
127,128,6,S15-9,tr6-128,62.3,0.252302,0.1029,^ *****,0.457,0.7918,^ *****,^ *****,0.0083,0.1207,0.2605,0.396621,0.81935,124.6,102.8,-0.009,-0.0393,^ *****,22.46,11.89,15.54,^ *****,1.13,0.0373,0.1807,0.6371,28.72,29.24,0.8175,-0.1114,0.5126,0.4228,0.2226,16.14,-0.0065,0.2367,0.679,0.335,1.357,2.175,0.6213,0.5144,
128,129,6,S16-1,tr6-129,56.83,0.18342199999999997,0.103,-0.0426,0.1458,0.6892,^ *****,10.08,0.0021666666666666666,0.0958,0.0939,0.271701,0.35629999999999995,94.6,66.02,-0.0087,-0.0169,15.4,21.31,15.29,18.82,9.479,2.989,0.0189,0.1813,0.493,12.66,12.88,0.3237,-0.021,0.3739,0.3572,0.1523,4.043,0.054,0.1137,0.479,0.3181,1.361,2.188,0.3705,0.3545,
129,130,6,S16-4,tr6-130,58.17,0.388622,0.1372,^ *****,1.21,0.7783,0.0115,15.31,0.004488888888888889,0.0915,0.3233,0.5699475,0.5201,79.13,25.96,-0.0066,-0.1227,^ *****,21.9,13.37,16.35,7.998,1.64,0.0297,0.155,0.6505000000000001,0.4692,4.647,1.664,-0.0386,1.03,0.7288,0.2845,17.99,-0.015,0.6975,0.9318,0.4784,2.496,4.039,0.4727,0.7145,
130,131,6,S16-7,tr6-131,^ *****,0.18232199999999998,0.1875,0.056,1.624,2.815,0.0193,30.3,0.004511111111111111,0.1223,0.2314,1.2192192,0.6384000000000001,164.2,^ *****,-0.0048,-0.0102,^ *****,52,34.69,39.99,33.82,3.138,0.0406,0.2085,0.4474,4.871,21.97,1.805,-0.0217,0.5923,0.9691,0.8983,22.41,0.027,0.3432,0.7102,0.792,4.011,4.503,0.5799,0.5106,
131,132,6,S17-1,tr6-132,59.77,0.361122,0.0871,-0.0237,0.1133,0.7087,^ *****,7.591,0.0016555555555555557,0.1018,0.1016,0.2473416,0.5313,82.11,55.11,-0.0083,-0.0239,^ *****,24.02,10.98,13.14,6.886,1.857,0.022,0.1279,0.5285000000000001,10.05,10.29,0.3604,-0.0153,0.3925,0.366,0.1532,2.979,0.053,0.0893,0.3566,0.2303,0.6897,1.086,0.3552,0.3943,
132,133,6,S17-2,tr6-133,47.39,0.36032200000000003,0.0807,-0.0052,0.087,0.6353,^ *****,9.647,0.0014000000000000002,0.063,0.0701,0.1833201,0.4077499999999999,66.76,44.44,-0.0075,-0.0346,11.3,15.38,7.853,9.184,4.437,0.9182,0.0204,0.1163,0.4402,9.888,10.2,0.3163,-0.0101,0.3587,0.3314,0.1332,2.197,0.0365,0.0946,0.435,0.2941,1.211,1.954,0.3108,0.3588,
133,134,6,S17-3,tr6-134,54.11,0.370022,0.0903,0.0035,0.0947,0.6963,^ *****,8.451,0.0012666666666666668,0.061500000000000006,0.0686,0.22110840000000004,0.3878000000000001,69.2,45.64,-0.0076,-0.0358,12.98,17.6,9.223,10.61,5.232,0.5897,0.0223,0.1245,0.4442,10.15,10.41,0.2813,-0.0083,0.3379,0.3153,0.1263,2.287,0.0413,0.097,0.4417,0.305,1.344,2.113,0.3769,0.3054,
134,135,6,S17-4,tr6-135,57.46,0.568322,0.0893,-0.0858,0.1576,0.6984,^ *****,3.929,0.0024777777777777775,0.08070000000000001,0.0923,0.271701,0.30449999999999994,100.7,71.16,-0.0082,-0.0162,^ *****,24.02,14.19,14.07,9.482,0.6243,0.0201,0.1342,0.4832,8.977,9.338,0.3329,-0.029,0.9052,0.8549,0.389,4.827,0.033,0.0884,0.2985,0.1655,1.244,1.997,0.3769,0.3438,
135,136,6,S17-5,tr6-136,46.49,0.584022,0.0605,-0.0746,0.1153,0.6,^ *****,4.094,0.0019666666666666665,0.09570000000000001,0.0915,0.20705490000000001,0.27019999999999994,90.4,61.79,-0.0082,-0.0148,13.19,18.05,9.971,11.57,^ *****,0.9929,0.0159,0.1063,0.4672,7.922,8.217,0.2926,-0.0213,0.3946,0.3595,0.1523,3.728,0.0276,0.0744,0.2462,0.1373,0.9741,1.539,0.3102,0.4747,
136,137,6,S17-6,tr6-137,66.99,0.558322,0.1216,-0.1532,0.238,0.96,^ *****,5.233,0.0038,0.1134,0.109,0.29324970000000006,0.45675000000000004,114.7,86.9,-0.0079,-0.031,^ *****,26.6,13.97,16.66,8.321,0.6591,0.0243,0.163,0.538,22.54,23.71,0.5041,-0.0461,0.4538,0.4002,0.1847,7.392,0.0352,0.1718,0.43,0.2384,1.402,2.242,0.4872,0.472,
137,138,6,S17-7,tr6-138,39.22,0.38052199999999997,0.0896,-0.0188,0.1081,0.5615,^ *****,6.333,0.0016111111111111111,0.0585,0.0612,0.20736720000000003,0.23555,78.5,52.87,-0.0067,-0.0337,12.88,17.5,11.81,14.08,6.847,1.013,0.014,0.1257,0.2919,13.11,13.62,0.228,-0.0146,0.8272,0.78,0.344,2.793,0.0224,0.1196,0.5094,0.3466,0.9014,1.413,0.2568,0.2549,
138,139,6,S17-8,tr6-139,31.24,0.320122,0.1111,0.042,0.0862,0.4415,^ *****,^ *****,0.0008555555555555555,0.040400000000000005,0.0432,0.14678100000000002,0.3024,54.43,33.61,-0.0063,-0.0308,8.932,11.74,7.729,8.249,4.181,0.5113,0.0123,0.1184,0.24509999999999998,14.75,15.3,0.1852,-0.0064,1.122,1.078,0.4734,1.583,0.0135,0.127,0.5795,0.4132,0.9555,1.531,0.1973,0.2352,
139,140,6,S17-9,tr6-140,33.09,0.329022,0.0874,0.0241,0.0755,0.4775,^ *****,9.228,0.0008777777777777779,0.0557,0.052,0.17488800000000002,0.24605,54.96,34.7,-0.0067,-0.0396,8.437,11.11,10.08,11.94,5.718,0.6022,0.0131,0.1293,0.30469999999999997,10.34,10.59,0.2045,-0.0045,0.5229,0.5077,0.2172,1.578,0.012,0.1006,0.5088,0.3736,1.024,1.598,0.206,0.2774,
140,141,6,S18-1,tr6-141,32.17,0.127822,0.0722,-0.0146,0.0836,0.4015,^ *****,15.78,0.001511111111111111,0.060700000000000004,0.0612,0.1495917,0.27999999999999997,66.27,44.48,-0.0072,-0.0436,7.623,9.831,9.648,7.523,4.214,1.271,0.0124,0.1064,0.2749,10.39,10.32,0.2151,-0.0071,0.475,0.4617,0.1957,2.166,0.0161,0.1201,0.7129,0.5308,0.982,1.56,0.2119,0.3359,
141,142,6,S18-2,tr6-142,36.63,0.164922,0.1104,-0.031,0.1457,0.5064,^ *****,11.41,0.001988888888888889,0.0868,0.0805,0.18394470000000002,0.24115000000000003,99.94,63.72,-0.0063,-0.0456,9.905,12.77,8.386,9.013,4.372,1.88,0.0306,0.1094,0.3576,1.798,2.735,0.2254,-0.0205,1.426,1.336,0.6439,3.921,0.0128,0.1461,0.6943,0.5069,1.191,1.871,0.2981,0.4271,
142,143,6,S18-3,tr6-143,42.33,0.17122199999999999,0.0858,0.0158,0.0813,0.6574,^ *****,^ *****,0.0014444444444444446,0.0516,0.0533,0.1983105,0.8767499999999999,58.02,38.03,-0.0045,-0.0402,10.05,13.44,12.43,8.225,4.689,0.8936,0.0235,0.153,0.3679,11.29,11.31,0.3062,-0.0033,0.4132,0.4066,0.1708,1.787,0.0284,0.1132,0.6177,0.4675,1.153,1.794,0.2969,0.4729,
143,144,6,S18-4,tr6-144,52.45,0.19252200000000003,0.0897,-0.0199,0.1138,0.5554,^ *****,7.959,0.0016333333333333336,0.0718,0.0732,0.22298219999999996,0.28174999999999994,80.97,54.88,-0.0079,-0.016,13.16,17.93,10.93,12.81,^ *****,0.6241,0.0164,0.1293,0.4135,12.37,12.27,0.2912,-0.0169,0.6666,0.6325,0.2789,2.983,0.0346,0.0885,0.3495,0.2292,2.427,3.862,0.4025,0.3639,
144,145,6,S18-5,tr6-145,53.54,0.14292200000000002,0.0851,-0.0056,0.0957,0.6755,^ *****,10.74,0.0013444444444444448,0.0779,0.0801,0.22797900000000001,0.32795,69.28,47,-0.0084,-0.0252,12.82,17.48,10.13,11.77,^ *****,0.811,0.0166,0.1374,0.48059999999999997,9.673,9.665,0.2939,-0.0107,0.3464,0.3258,0.1325,2.359,0.0405,0.0915,0.4587,0.3193,1.941,3.138,0.3846,0.3226,
145,146,6,S18-6,tr6-146,41.03,0.110222,0.0564,-0.0096,0.0652,0.5013,^ *****,7.056,0.0011555555555555557,0.07,0.0767,0.20174579999999998,0.22154999999999997,58.07,38.3,-0.008,-0.0085,9.84,13.07,13.12,15.62,7.871,0.5772,0.009,0.1333,0.3732,5.921,5.887,0.3308,-0.0083,0.2982,0.3053,0.1206,1.784,0.0228,0.0585,0.3029,0.2061,2.402,3.866,0.32,0.3001,
146,147,6,S18-7,tr6-147,57.49,0.279722,0.0958,-0.0253,0.1236,0.6083,^ *****,5.139,0.0018,0.0723,0.0748,0.26233199999999995,0.3199,85.38,57.91,-0.008,-0.0152,14.39,19.56,13.37,16.07,8.374,0.4101,0.017,0.1481,0.4745,9.235,9.289,0.3404,-0.0185,0.4955,0.4685,0.2027,3.278,0.0393,0.0836,0.3558,0.225,1.672,2.643,0.4112,0.3914,
147,148,6,S18-8,tr6-148,57.99,0.189222,0.1352,0.0522,0.1154,0.6824,^ *****,^ *****,0.0013,0.0641,0.064,0.2432817,0.679,66.34,43.89,-0.0077,-0.0338,15.68,21.58,13.01,15.61,7.419,0.6322,0.0275,0.1499,0.483,13.69,13.61,0.3122,-0.0075,0.435,0.4167,0.1742,2.136,0.0448,0.106,0.4904,0.347,0.8763,1.403,0.3839,0.443,
148,149,6,S19-1,tr6-149,^ *****,0.16752200000000003,0.2443,0.1029,1.769,2.813,0.0205,53.03,0.004988888888888888,0.1417,0.2532,1.3756815,0.6646500000000001,167.4,^ *****,-0.0044,-0.0099,^ *****,62.52,40.01,46.8,40.04,3.43,0.0402,0.3285,0.5237,4.93,22.72,1.945,-0.0256,0.5444,0.8809,0.8094,24.06,0.0072,0.5815,1.149,1.305,7.353,8.332,0.6308,0.5316,
149,150,6,S19-4,tr6-150,^ *****,0.189922,0.1425,-0.0326,1.923,2.161,0.0166,38.73,0.005522222222222222,0.1362,0.2346,1.2688749000000001,0.4609500000000001,^ *****,^ *****,-0.0056,-0.0103,^ *****,36.84,34.3,38.97,33.47,7.903,0.0354,0.2365,0.4271,3.953,17.85,2.118,-0.026,0.3775,0.6091,0.5633,27.32,-0.0118,0.4297,0.8888,0.9976,6.373,7.195,0.5065,0.4139,
150,151,6,S19-7,tr6-151,^ *****,0.182222,0.2278,0.0588,2.023,2.978,0.0243,32.2,0.005688888888888887,0.159,0.29059999999999997,1.5349545,0.6646500000000001,^ *****,^ *****,-0.0047,-0.0088,^ *****,^ *****,42.76,50.05,43.23,3.765,0.0437,0.3467,0.5342,3.188,14.68,2.265,-0.0293,0.4214,0.6843,0.6259,28.01,0.0129,0.4579,0.9354,1.055,7.987,9.059,0.7453,0.5227,
151,152,6,S20-1,tr6-152,^ *****,0.4466220000000001,0.3067,0.135,2.17,3.039,0.0259,33.92,0.006033333333333332,0.16729999999999998,0.3114,1.7048457000000001,0.8539999999999999,^ *****,^ *****,-0.0048,-0.0108,^ *****,^ *****,43.97,51.96,45.37,6.178,0.0546,0.4051,0.665,5.366,24.46,2.375,-0.0311,0.5274,0.8571,0.7866,29.35,0.027,0.4174,0.8697,0.9711,8.312,9.314,0.8208,0.6259,
152,153,6,S20-4,tr6-153,^ *****,0.17572200000000002,0.1592,0.0113,1.709,1.959,0.0174,29.28,0.004844444444444445,0.13449999999999998,0.2324,1.1614437,0.6363000000000001,168.8,^ *****,-0.0044,-0.0077,^ *****,44.78,38.23,44.13,37.33,5.241,0.0331,0.2127,0.4908,3.559,16.22,1.923,-0.0269,0.3441,0.5537,0.508,23.99,0.0047,0.2585,0.5607,0.6133,4.549,5.144,0.5069,0.4841,
153,154,6,S20-7,tr6-154,^ *****,0.194222,0.2362,0.0708,2.011,2.668,0.0233,26.38,0.005644444444444444,0.1656,0.2948,1.5618123,0.78295,^ *****,^ *****,-0.0051,-0.0087,^ *****,^ *****,45.64,53.19,47.35,6.131,0.0475,0.3244,0.5742,4.861,21.95,2.215,-0.0286,0.4346,0.7044,0.6491,27.68,0.0163,0.3365,0.7184,0.798,7.966,9.039,0.7452,0.5978,
154,155,6,S22-1,tr6-155,^ *****,0.149122,0.2552,0.1658,1.312,1.452,0.0134,153.4,0.0035666666666666663,0.10200000000000001,0.1735,0.9172251,0.4438,139.4,188.8,-0.0034,-0.0077,^ *****,36.81,34.83,39.35,34.26,3.347,0.0244,0.251,0.3602,3.405,15.22,1.372,-0.0175,0.6042,0.9822,0.9105,17.07,-0.0115,0.7343,1.406,1.623,5.095,5.763,0.4063,0.3517,
155,156,6,S22-4,tr6-156,^ *****,0.22642199999999998,0.2664,0.1579,1.532,2.282,0.0138,245.6,0.004200000000000001,0.1023,0.1798,0.9618840000000002,0.504,151,207.8,-0.0035,-0.0109,^ *****,44.24,38.02,44.54,39.4,5.624,0.0296,0.3108,0.3614,3.678,16.62,1.554,-0.0194,0.5877,0.9666,0.9031,20.16,-0.0164,1.371,2.596,3.094,5.001,5.611,0.4058,0.3591,
156,157,6,S22-7,tr6-157,99.27,0.156222,0.0955,0.0016,1.059,1.074,0.01,180.6,0.0031444444444444445,0.08900000000000001,0.14129999999999998,0.7410879000000001,0.36855000000000004,127.2,168.1,-0.0034,-0.0062,20.19,30.37,36.32,42.33,36.63,3.167,0.0217,0.2084,0.3237,2.711,12.39,1.177,-0.0153,0.3147,0.5146,0.4741,14.93,-0.0355,0.656,1.254,1.461,5.941,6.758,0.3422,0.2771,
157,158,8,2S01-1,tr8-1,37.13,0.0905,0.1222,^ *****,0.6922,0.3849,0.0067,103.6,0.0277,0.0862,0.2653,-0.0367,0.1283,55.61,18.61,23.17,-0.0036,-0.0467,^ *****,23.43,15.19,18.37,10.52,2.255,0.0239,0.1443,0.4244,1.54,10.92,1.207,-0.0171,0.7674,0.6187,0.2296,10.51,-0.0221,0.7631,0.9848,0.5931,3.384,5.41,0.3279,0.4443
158,159,8,2S01-2,tr8-2,38.46,0.1062,0.0811,-0.0425,0.1584,0.3714,0.0084,34.75,0.0171,0.0656,0.2179,-0.018,-0.0396,73.7,79.86,83.06,-0.0036,-0.0314,5.862,33.5,14.63,2.195,10.9,2.432,0.0323,-0.0035,0.6168,18.08,21.93,0.3215,-0.02,0.5493,0.052,0.1559,3.412,0.0313,0.3364,0.7291,0.2436,2.877,1.032,0.1058,0.4607
159,160,8,2S01-3,tr8-3,35.97,0.0897,0.0786,-0.0407,0.151,0.3537,0.0083,40.35,0.0167,0.0634,0.2111,-0.0191,-0.0339,72.42,78.02,82.07,-0.006,-0.0146,4.78,27.17,15.58,2.314,11.4,2.374,0.0322,-0.0047,0.5785,18.0,21.36,0.2802,-0.0162,0.6344,0.0689,0.1907,3.336,0.0269,0.348,0.7317,0.2538,2.621,0.9125,0.097,0.4677
160,161,8,2S01-4,tr8-4,67,0.17,0.2879,^ *****,1.079,0.7822,0.0111,26.84,0.0409,0.133,0.3762,0.0209,0.2207,68.51,23.91,29.46,-0.0061,-0.0622,^ *****,41.05,20.19,25.86,15.39,3.359,0.0349,0.2211,0.7892,2.236,16.65,1.902,-0.0329,0.9274,0.7317,0.2718,16.09,0.0041,0.5037,0.6738,0.3776,3.937,6.34,0.5194,0.7276
161,162,8,2S01-5,tr8-5,58.72,0.1671,0.2647,^ *****,1.075,0.7155,0.0103,28.43,0.0392,0.1332,0.3781,0.0227,0.211,68.09,24.29,29.46,-0.0061,-0.0693,^ *****,34.49,19.84,25.22,14.36,3.662,0.0332,0.1877,0.7266,2.413,17.32,1.975,-0.0339,0.8147,0.6259,0.2245,15.86,0.0041,0.5234,0.6948,0.3857,3.474,5.626,0.4674,0.7691
162,163,8,2S01-6,tr8-6,53.01,0.1573,0.2337,^ *****,1.009,0.6163,0.0095,23.2,0.0365,0.127,0.3629,0.007,0.1834,66.44,23.13,28.16,-0.0067,-0.0888,^ *****,30.24,18.04,22.94,12.58,3.523,0.0305,0.1678,0.6563,2.226,16.22,1.82,-0.0321,0.8992,0.697,0.2491,15.04,0.0025,0.5773,0.7597,0.4216,2.983,4.897,0.4214,0.6622
163,164,8,2S01-7,tr8-7,34.34,0.0684,0.2947,^ *****,0.6052,0.4939,0.0062,71.42,0.0222,0.0804,0.2438,-0.0565,0.1447,50.28,16.49,20.76,-0.0043,-0.094,19.32,21.1,15.91,19.28,10.78,3.63,0.0216,0.2465,0.4051,2.698,19.48,1.066,-0.0157,1.226,0.9877,0.3649,9.027,-0.001,2.662,3.358,2.033,2.036,3.358,0.2538,0.4843
164,165,8,2S01-8,tr8-8,26.09,0.0431,0.2203,-0.0427,0.4486,0.4302,0.0048,135.1,0.017,0.06,0.1875,-0.0837,0.122,41.95,12.63,16.21,-0.0029,-0.0547,18.77,20.29,16.24,20.22,11.68,2.841,0.014,0.4121,0.3206,1.318,9.873,0.7712,-0.0102,0.9464,0.7441,0.2698,6.872,-0.011,5.667,7.168,4.364,1.9,3.159,0.199,0.3328
165,166,8,2S01-9,tr8-9,26.5,0.0533,0.1869,-0.0959,0.4827,0.4024,0.0047,109.7,0.0183,0.0646,0.2049,-0.0762,0.1284,43.83,13.9,17.6,-0.0035,-0.0679,18.47,20.54,14.8,18.2,10.12,4.052,0.0166,0.2519,0.3092,2.28,16.4,0.8765,-0.011,0.9571,0.7573,0.2733,7.388,0.0012,4.185,5.262,3.192,1.798,2.954,0.1968,0.4
166,167,8,2S02-1,tr8-10,45.5,0.0859,0.1096,-0.0307,0.2034,0.4884,0.0088,61.14,0.0154,0.0629,0.2106,-0.0163,-0.0078,78.03,86,91.77,-0.0062,-0.0169,6.582,31.48,21.02,3.675,17.38,2.662,0.0259,0.0109,0.5075,10.09,14.8,0.3319,-0.008,0.5582,0.0996,0.2265,4.156,0.0083,0.8215,1.445,0.6293,3.405,1.27,0.1364,0.4569
167,168,8,2S02-2,tr8-11,44.44,0.1157,0.206,^ *****,0.8139,0.5739,0.0078,57.12,0.0294,0.0993,0.3026,-0.0233,0.1744,60.59,21.1,26.13,-0.0053,-0.0708,^ *****,27.12,19.11,23.78,13.98,2.893,0.0237,0.1711,0.5113,2.522,17.66,1.406,-0.0204,0.7108,0.569,0.2095,12.14,-0.0153,0.9301,1.198,0.7236,2.561,4.171,0.3514,0.5561
168,169,8,2S02-3,tr8-12,49.32,0.0944,0.1669,^ *****,0.8846,0.6749,0.0085,75.22,0.0241,0.081,0.3225,-0.0087,0.1859,63.84,22.64,28.26,-0.0052,-0.0538,^ *****,29.12,20.25,25.5,15.5,3.766,0.0184,0.1927,0.4157,1.965,13.51,1.119,-0.0191,0.5917,0.6576,0.2527,13.07,-0.0152,0.8619,1.108,0.9174,2.933,4.635,0.3836,0.4985
169,170,8,2S02-4,tr8-13,39.99,0.0677,0.1221,-0.0124,0.1542,0.8382,0.0075,132,0.013,0.0462,0.1701,-0.0435,0.0274,66.29,71.53,77.59,-0.0051,-0.02,6.257,29.1,20.19,3.442,16.57,2.71,0.0233,0.0305,0.4569,12.0,17.37,0.2589,-0.0069,0.5515,0.1027,0.2297,3.194,0.0045,2.189,3.639,1.63,2.604,1.026,0.1157,0.3524
170,171,8,2S02-5,tr8-14,38.51,0.0917,0.2828,^ *****,0.6424,0.9138,0.0068,143.3,0.0243,0.0769,0.2549,-0.0453,0.1903,52.56,17.91,22.52,-0.0034,-0.0861,^ *****,25.73,20.14,25.89,15.64,2.754,0.0399,0.258,0.4147,3.792,26.3,1.106,-0.0179,1.219,0.7288,0.272,9.595,-0.0155,2.955,3.721,2.333,2.146,3.462,0.2882,0.4975
171,172,8,2S02-6,tr8-15,35.57,0.0586,0.1108,-0.0167,0.1451,0.7965,0.0071,131.7,0.0124,0.0459,0.162,-0.05,0.0306,65.66,70.96,76.53,-0.0051,-0.0217,5.545,25.29,20.17,3.456,16.47,2.234,0.0264,0.0079,0.3891,15.95,22.92,0.2428,-0.007,0.6104,0.1144,0.2559,3.064,-0.0018,2.036,3.404,1.5,2.204,0.8449,0.0967,0.4183
172,173,8,2S02-7,tr8-16,27.47,0.3531,0.0842,-0.0174,0.1336,0.6832,0.0055,328.8,0.0103,0.0275,0.1168,-0.0768,0.075,56.95,62.04,67.99,-0.0049,-0.0225,4.214,15.93,17.52,3.306,14.39,4.222,0.0171,0.024,0.2318,4.998,7.867,0.1902,-0.0017,0.9588,0.2817,0.5236,2.817,-0.0038,5.383,8.485,4.326,1.552,0.6711,0.0755,0.181
173,174,8,2S02-8,tr8-17,28.08,0.5381,0.1693,^ *****,0.6321,0.648,0.0053,164.6,0.0235,0.0503,0.2307,-0.0545,0.1442,52.02,17.73,22.45,-0.003,-0.1047,16.15,17.52,15.13,18.5,10.62,3.721,0.0161,0.1819,0.2776,2.516,16.91,1.061,-0.0148,1.143,0.9451,0.3617,9.504,-0.0174,3.347,4.218,2.663,1.509,2.373,0.1972,0.4202
174,175,8,2S02-9,tr8-18,29.87,1.096,0.172,^ *****,0.8245,0.6763,0.006,164,0.035,0.0552,0.2725,-0.0305,0.1312,58.33,19.4,24.61,-0.0034,-0.0692,19.24,21.37,16.64,20.56,11.98,5.11,0.0184,0.2508,0.3253,1.911,14.23,1.439,-0.0207,0.7959,0.6123,0.2166,12.52,-0.0085,4.138,5.245,3.162,2.017,3.343,0.2365,0.3506
175,176,8,2S03-1,tr8-19,55.59,0.0962,0.1931,^ *****,1.03,0.6734,0.0094,25.04,0.0383,0.1206,0.3563,0.0011,0.152,66.41,22.79,28.05,-0.0065,-0.0452,^ *****,32.88,18.22,22.63,13.01,4.014,0.0296,0.1919,0.6064,1.918,14.28,1.802,-0.0302,0.8074,0.6222,0.2283,15.45,0.0011,0.8944,1.168,0.6809,3.731,6.102,0.4481,0.5796
176,177,8,2S03-2,tr8-20,30.19,0.0586,0.0508,-0.0418,0.1246,0.3086,0.0068,24.16,0.0134,0.0568,0.1815,-0.0477,-0.0434,67.17,71.41,75.99,-0.0065,-0.0125,3.784,21.43,13.83,1.965,9.53,2.573,0.0219,-0.0091,0.4632,14.55,17.57,0.2173,-0.0134,0.5773,0.0564,0.1667,2.84,0.0227,0.6043,1.141,0.4083,2.272,0.7884,0.0756,0.3807
